"正则","备注"
"^[^\u4E00-\u9FA5]$","单个非中文字符"
"^[\.。,，\/\?？!！~～@\^、+=\-_ ]+$","无意义符号"
"^(.)\1{5,}$","5个以上重复字符"
"^(\d+|[一二三四五六七八九十]+)(秒|秒钟|S|s|分|分钟|MIN|Min|min|时|小时|H|h|天|月|年)前?$","某时间前"
"^(\d+|[一二三四五六七八九十百千万]+)(个?(人|朋友)|[\+加])(你们?[好豪嚎号][啊阿]?|[在再]看)?","4000+个朋友你们好"
"^(好|这么)?早[啊阿]?.?$","好早"
"^来早了.?$","来早了"
"^最[早晚]的一[次集].?$",
"^(听说)?来得[早晚]发什么都会火.?$",
"^(霸占)?空[屏瓶]$","霸占空屏"
"^刚刚[！!]*$","刚刚"
"^[第低地弟][一二三123].？$","第一"
"^(好烫)+[!！~]*$","好烫"
"^热乎的?$","热乎"
"^暂停看.字$","暂停看红字"
"[wW万]助攻$",
"^[陪赔].{1,5}(一起)?看$",
"(20)?[0-9]{2}年?([0-9一二三四五六七八九十]{1,2}月)?([0-9一二三四五六七八九十]{1,3}日)?(前来)?[考烤][古股]",
"^@.{1,8}$",
