"正则","备注"
"^打?(蒸发|过载|感电|超导|结晶|扩散|燃烧|融化)(伤害)?(是吧[？\?]?)?$","元素反应"
"阿蕾奇诺|千织|闲云|娜维娅|芙宁娜|莱欧斯利|那维莱特|林尼",
"迪希雅|艾尔海森|纳西妲|妮露|赛诺|提纳里|夜兰|神里绫人",
"八重神子|荒泷一斗|珊瑚宫心海|宵宫|神里绫华|枫原万叶|优菈|甘雨",
"阿贝多|钟离|达达利亚|可莉|温迪|刻晴|迪卢克|莫娜",
"派蒙|嘉明|夏沃蕾|夏洛蒂|菲米尼|琳妮特|绮良良|卡维",
"珐露珊|莱依拉|坎蒂丝|多莉|柯莱|鹿野院平藏|久岐忍|云堇",
"九条裟罗|早柚|烟绯|罗莎莉亚|辛焱|迪奥娜|雷泽|菲谢尔",
"香菱|安柏|班尼特|芭芭拉|行秋|凝光|诺艾尔|重云",
"凯亚",
"旅行者|白术|流浪者|申鹤|埃洛伊|雷电将军|胡桃|七七|米卡|瑶瑶","有误伤可能"
"米哈游|mih[oa]you?|米忽悠|mhy|米游社",
"提瓦特|蒙德|璃月|稻妻|须弥|枫丹|渊下宫|尘歌壶|层岩巨渊|龙脊雪山","地名"
"[1-6一二两三四五六满]命|命座",
"丘丘人",
"无相之[风火水草岩冰雷]",
"愚人众",
"镀金旅团",
"摩拉|原石",
"派[蒙萌梦]",
"神瞳|七天神像",
"前面的区域以后再来探索吧",
"海灯节",
"大伟哥",
"原神|[Gg]enshin",
"星穹铁道|[星崩]铁",
"绝区零|^[Zz]{3}$",
"崩坏?[一二三123]",
"^原来你也(玩原神[\?？]?|\.\.\.|……)?$",
